,Date,Name,Duration,Distance,Speed,UpHill,DownHill
70,2023-04-15,Road Ride,2.61,43.81,16.8,356,348
71,2023-04-10,Road Ride,1.82,30.51,16.7,269,273
72,2023-04-08,Road Ride,2.01,31.17,15.5,276,261
73,2023-04-06,Road Ride,1.34,22.63,16.9,183,190
74,2023-04-04,Bike Tour,0.39,6.29,16.1,54,72
75,2023-04-03,Road Ride,1.63,22.62,13.9,188,188
76,2023-04-01,Road Ride,2.1,32.44,15.4,277,272
77,2023-03-31,Road Ride,1.38,22.51,16.4,162,166
78,2023-03-29,Road Ride,1.36,22.51,16.5,207,199
79,2023-03-25,Road Ride,2.17,35.2,16.2,351,339
80,2023-03-18,Road Ride,1.73,32.09,18.6,243,221
81,2023-03-16,Road Ride,1.38,23.51,17.0,236,223
82,2023-03-11,Road Ride,2.79,44.54,16.0,419,427
83,2023-03-08,Road Ride,1.26,22.31,17.8,250,228
84,2023-03-04,Bike Ride,1.94,33.9,17.5,357,345
85,2023-03-02,Bike Ride,1.09,20.51,18.8,180,162
86,2023-02-27,Bike Ride,1.17,20.54,17.6,159,155
87,2023-02-25,Bike Ride,2.02,33.42,16.5,290,270
88,2023-02-22,Bike Ride,1.84,31.12,16.9,293,283
89,2023-02-18,Bike Ride,0.96,16.39,17.1,160,169
90,2023-02-17,Bike Ride,1.45,20.42,14.1,216,212
91,2023-02-11,Bike Ride,2.12,32.04,15.1,215,216
92,2023-01-21,Bike Ride,2.13,34.07,16.0,294,290
93,2023-01-19,Bike Ride,1.1,20.58,18.6,181,174
94,2023-01-17,Bike Ride,1.38,18.09,13.1,125,155
95,2022-12-31,Bike Ride,2.48,40.74,16.4,299,342
96,2022-12-10,Bike Ride,1.95,30.42,15.6,241,214
97,2022-11-12,Bike Ride,1.9,32.9,17.3,269,299
98,2022-11-07,Bike Ride,1.11,20.99,18.9,151,153
99,2022-11-05,Bike Ride,0.98,17.74,18.0,162,211
100,2022-11-05,Bike Ride,0.86,14.01,16.3,172,111
101,2022-10-24,Bike Ride,1.22,21.46,17.6,181,173
102,2022-10-22,Bike Ride,2.36,41.76,17.7,512,510
